id,func_dp_nr,func_dp_naam,func_systeem,gbs_naam,object-id_gbs,opmerking
33,26,temperatuur verse lucht,luchtgroep 1,PEG_LAB_ - Temp.verselucht,3c0b1fe7-fac8-5eeb-af1c-c4dcb5bd2f48,PEG 2
34,27,sturing pulsieventilator,luchtgroep 1,PEG_LAB_ - Status IG,afd1834a-2fb4-540c-88a8-ea7446ce00cf,Status on of off PEG 2
35,28,sturing extractieventilator,luchtgroep 1,PEG_LAB_ - Status EG,5c3bb768-7eef-5a0d-947b-699ad2f40256,Status on of off PEG 2
36,29,stand klep verwarmingsbatterij,luchtgroep 1,PEG_LAB_ - Rgl.ventiel verw.batterij,9b706598-7fa1-5f7a-b122-037644e03feb,PEG 2
37,30,temperatuur vertrek verwarmingsbatterij,luchtgroep 1,40.02 STERRE S2 - Kring 03 - Luchtgroepen.Vertrekwater - Temperatuur,51c05ef8-bc5a-541b-aaa8-8b0a31511eb5,
38,31,temperatuur retour verwarmingsbatterij,luchtgroep 1,40.02 STERRE S2 - Kring 03 - Luchtgroepen.Retourwater - Temperatuur,4529a28d-5ef0-5103-afbc-d2946bdb980a,
39,32,gevraagde temperatuur pulsielucht,luchtgroep 2,40.02 STE S2 - VEN_PEG11.WSP Temp.inblaas,7e2d8135-df87-5b1f-8bac-6595870fa2a6,PEG 11
40,33,temperatuur pulsielucht,luchtgroep 2,40.02 STE S2 - VEN_PEG11.Temp.inblaas,15c9cc00-a6ef-569e-90b9-c287b038d0c8,PEG 11
41,34,temperatuur extractielucht,luchtgroep 2,40.02 STE S2 - VEN_PEG11.Temp.extractie,9ab9152a-41b2-5a22-ac83-751f22264ae8,PEG 11
42,35,Druk of debiet pulsiekanaal,luchtgroep 2,40.02 STE S2 - VEN_PEG11.Debiet inblaas,60ec5e06-3140-53d0-8beb-79b448d0d982,PEG 11
43,36,druk of debiet extractiekanaal,luchtgroep 2,40.02 STE S2 - VEN_PEG11.Debiet extractie,75780562-6d4d-53ab-8b6b-2e279e95a7a3,PEG 11
44,37,temperatuur verse lucht,luchtgroep 2,40.02 STE S2 - VEN_PEG11.Temp.verse lucht,d394be11-9f37-57e5-ac1e-e9a6c2b447dc,PEG 11
45,38,sturing pulsieventilator,luchtgroep 2,40.02 STE S2 - VEN_PEG11.Rgl.frequentie PG,3db9d823-db03-5753-9b80-284ca5e9d365,PEG 11
46,39,sturing extractieventilator,luchtgroep 2,40.02 STE S2 - VEN_PEG11.Rgl.frequentie EG,8e6f47ac-4bb6-521a-8d23-b5ebbef1dc98,PEG 11
47,40,stand klep verwarmingsbatterij,luchtgroep 2,40.02 STE S2 - VEN_PEG11.Rgl.ventiel VVB,c6e20454-849a-5446-b40d-519bbb18c90e,PEG 11
48,41,temperatuur vertrek verwarmingsbatterij,luchtgroep 2,40.02 STERRE S2 - Kring 03 - Luchtgroepen.Vertrekwater - Temperatuur,51c05ef8-bc5a-541b-aaa8-8b0a31511eb5,
49,42,temperatuur retour verwarmingsbatterij,luchtgroep 2,40.02 STERRE S2 - Kring 03 - Luchtgroepen.Retourwater - Temperatuur,4529a28d-5ef0-5103-afbc-d2946bdb980a,
50,43,gevraagde ruimtetemperatuur,zone 1,40.02 STERRE S2 - Kring 01 - Radiatoren.Effectieve bezetting,94a942c3-dea5-5b48-9728-3968574b90ee,aan/uit 21/18
51,44,ruimtetemperatuur,zone 1,40.02 STERRE S2 - Kring 01 - Radiatoren.Ruimte - Temperatuur,db9cf9e7-c959-5245-ba3a-dbfc4bc01c82,
52,44,ruimtetemperatuur,zone 1,40.02 STERRE S2 - Kring 02 - Radiatoren.Ruimte - TemperatuurTemperatuur,f8bb5b1d-5a1f-5ec2-8651-5597a171a4bc,
53,45,ruimteco2,zone 1,,,GEEN WAARDE
54,46,stand klep verwarming,zone 1,40.02 STERRE S2 - Kring 01 - Radiatoren.Mengklep - Sturing,ca2dc725-3663-5de3-a04b-6c99ecfbddb8,
55,46,stand klep verwarming,zone 1,40.02 STERRE S2 - Kring 02 - Radiatoren.Mengklep - Sturing,8ec02e49-2bee-5e23-a6f2-1f1e6d0610cf,
56,47,gevraagde ruimtetemperatuur,zone 2,,,GEEN WAARDE
57,48,ruimtetemperatuur,zone 2,40.02 STE S2 - VEN_PEG11.Temp.extractie,9ab9152a-41b2-5a22-ac83-751f22264ae8,PEG 11
58,49,ruimteco2,zone 2,40.02 STE S2 - VEN_PEG11.CO2 ruimte,7a6f7629-b77c-55b6-904d-94d3ab87bce1,
59,50,stand klep verwarming,zone 2,40.02 STE S2 - VEN_PEG11.Rgl.ventiel VVB,c6e20454-849a-5446-b40d-519bbb18c90e,PEG 11
60,50,stand klep verwarming,zone 2,40.02 STERRE S2 - Kring 01 - Radiatoren.Mengklep - Sturing,ca2dc725-3663-5de3-a04b-6c99ecfbddb8,
61,50,stand klep verwarming,zone 2,40.02 STERRE S2 - Kring 02 - Radiatoren.Mengklep - Sturing,8ec02e49-2bee-5e23-a6f2-1f1e6d0610cf,
